公司名称,公司简称,城市,公司规模,学历要求,工作经验,薪资,融资阶段,工作性质,职位诱惑,职位名称,公司福利
深圳市有鱼智能科技有限公司,有鱼智能科技,北京,150-500人,本科,在校/应届,10k-20k,上市公司,全职,BAT班底，极客文化，环境极佳、零食水果,go开发工程师,"""节日礼物"",""股票期权"",""带薪年假"",""绩效奖金"""
成都网信天成科技有限公司,网信天成,成都,50-150人,本科,3-5年,12k-18k,不需要融资,全职,"社保,加班补贴,周末双休, 包住宿",后端开发工程师（Python、Go方向）9788,"""专项奖金"",""绩效奖金"",""节日礼物"",""领导好"""
深圳市即构科技有限公司,即构科技,深圳,150-500人,本科,3-5年,15k-30k,C轮,全职,"核心部门,高并发,大牛云集,氛围浓厚",go开发工程师,"""股票期权"",""绩效奖金"",""扁平管理"",""技能培训"""
北京字节跳动网络技术有限公司,字节跳动,北京,2000人以上,本科,不限,30k-60k,D轮及以上,全职,六险一金，高薪期权，弹性工作，免费三餐,GO后端开发实习,"""扁平管理"",""弹性工作"",""就近租房补贴"",""六险一金"""
上海薄荷信息科技有限公司,薄荷,上海,150-500人,本科,3-5年,18k-28k,C轮,全职,发展空间大，技术氛围浓厚,go开发工程师,"""绩效奖金"",""年度旅游"",""五险一金"",""股票期权"""
广州汇量信息科技有限公司,Mobvista,北京,500-2000人,本科,3-5年,15k-30k,上市公司,全职,上市公司，发展好 一日三餐+下午茶,go语言开发工程师,"""优秀团队"",""节日礼物"",""股票期权"",""带薪年假"""
广州汇量信息科技有限公司,Mobvista,上海,500-2000人,本科,3-5年,15k-30k,上市公司,全职,上市公司，发展好 一日三餐+下午茶,go服务器程序员,"""优秀团队"",""节日礼物"",""股票期权"",""带薪年假"""
北京摩点会想科技有限公司,摩点网,北京,50-150人,本科,3-5年,20k-30k,A轮,全职,"新三板上市,六险一金,带薪假期,年底奖金",Go后台开发工程师,"""带薪年假"",""绩效奖金"",""五险一金"",""免费早餐"""
北京摩点会想科技有限公司,摩点网,北京,50-150人,本科,3-5年,20k-30k,A轮,全职,"新三板上市,六险一金,带薪假期,年底奖金",中高级GO研发工程师,"""带薪年假"",""绩效奖金"",""五险一金"",""免费早餐"""
北京小米科技有限责任公司,小米集团,北京,2000人以上,本科,3-5年,20k-35k,上市公司,全职,"核心部门,六险一金,弹性工作,下午茶",Go/Golang资深工程师,"""快速成长"",""免费班车"",""扁平管理"",""技能培训"""
杭州隆埠科技有限公司,Long Bridge,杭州,150-500人,本科,3-5年,20k-30k,A轮,全职,"五险一金,大牛团队,福利丰富，环境好",高级 Go 后台工程师,"""扁平管理"",""弹性工作"",""五险一金"",""互联网公司"""
北京大玩家计划网络科技有限公司,Top Gamers,北京,50-150人,本科,1-3年,12k-24k,A轮,全职,五险一金 双休 弹性上班 零食 生日会,go后端开发工程师,
上海微创软件股份有限公司,微创软件,深圳,2000人以上,本科,1-3年,15k-20k,不需要融资,全职,绩效考核，免费班车，免费早餐，夜宵卷，加班费,go,"""绩效奖金"",""带薪年假"",""定期体检"",""弹性工作"""
广州趣丸网络科技有限公司,趣丸,广州,500-2000人,本科,3-5年,20k-40k,B轮,全职,六险一金、包三餐、大牛多,总部招聘经理,"""周末双休"",""包三餐"",""六险一金"",""丰厚年终奖"""
拼途（北京）信息技术有限公司,嘀嗒出行,北京,150-500人,本科,1-3年,20k-40k,D轮及以上,全职,技术先进，团队融洽，广阔的发展平台,HR,"""绩效奖金"",""年底双薪"",""交通补助"",""管理规范"""
厦门美图之家科技有限公司,美图公司,北京,2000人以上,本科,3-5年,15k-30k,上市公司,全职,上市公司 晋升空间 扁平化管理,HR,"""节日礼物"",""与大牛共事"",""福利健全"",""五险一金"""
北京字节跳动网络技术有限公司,字节跳动,北京,2000人以上,本科,不限,30k-60k,D轮及以上,全职,"下午茶,健身瑜伽,六险一金,股票期权",人力资源,"""扁平管理"",""弹性工作"",""就近租房补贴"",""六险一金"""
北京字节跳动网络技术有限公司,字节跳动,北京,2000人以上,本科,不限,20k-40k,D轮及以上,全职,"五险一金,团队氛围好,免费三餐",HRBP,"""扁平管理"",""弹性工作"",""就近租房补贴"",""六险一金"""
千言信息技术（上海）有限公司,italki,上海,50-150人,本科,3-5年,25k-30k,A轮,全职,国际化团队，福利丰厚，技术提升,HRM,"""高端医疗保险"",""国际化团队"",""绩效奖金"",""带薪年假"""
深圳赛中互娱信息技术有限公司,深圳赛中互娱信息技术有限公司,深圳,50-150人,本科,3-5年,20k-35k,A轮,全职,五险一金，带薪年假，周末双休，节日礼物,行政人事,"""股票期权"",""年终分红"",""带薪年假"",""专项奖金"""
深圳市有芯电子有限公司,有芯电子,深圳,150-500人,本科,3-5年,20k-28k,不需要融资,全职,每天8小时 周末双休 薪资优厚,招聘经理,"""五险一金"",""绩效奖金"",""带薪年假"",""节日礼物"""
上海积梦智能科技有限公司,积梦智能,上海,15-50人,大专,1-3年,15k-25k,天使轮,全职,福利待遇佳，工作氛围好,数据产品经理,"""年底双薪"",""绩效奖金"",""定期体检"",""午餐补助"""
深圳市智象科技有限公司,智象科技,深圳,15-50人,本科,3-5年,12k-18k,A轮,全职,"股票期权,绩效奖金,五险一金,弹性工作",人事 &amp; 行政主管,"""腾讯大牛"",""项目奖金"",""带薪年假"",""年底双薪"""
深圳市智象科技有限公司,智象科技,深圳,15-50人,本科,5-10年,18k-24k,A轮,全职,"股票期权,绩效奖金,五险一金,弹性工作",行政人事,"""腾讯大牛"",""项目奖金"",""带薪年假"",""年底双薪"""
北京花房科技有限公司,北京花房科技有限公司,北京,500-2000人,本科,3-5年,20k-25k,D轮及以上,全职,五险一金全额，补充医疗,,"""年底双薪"",""带薪年假"",""岗位晋升"",""年度旅游"""
北京美餐巧达科技有限公司,美餐,北京,500-2000人,本科,不限,25k-50k,D轮及以上,全职,氛围自由，加班少,高级人事专员,"""弹性工作"",""扁平管理"",""带薪年假"",""股票期权"""
小船出海教育科技（北京）有限公司,作业帮,北京,2000人以上,本科,5-10年,40k-60k,D轮及以上,全职,大平台，核心部门，14薪，包3餐,HRBP,"""免费三餐"",""技术氛围浓厚"",""定期体检"",""新鲜水果"""
深圳市沃信科技有限公司,沃信科技,深圳,50-150人,本科,1-3年,10k-15k,未融资,全职,双休、下午茶 、 团建出游、氛围nice,HR,"""年底双薪"",""定期体检"",""绩效奖金"",""领导好"""
北京鳄梨科技有限公司,北京鳄梨科技有限公司,北京,50-150人,本科,3-5年,20k-40k,天使轮,全职,六险一金、公司氛围好、发展空间大,Go 后台工程师,"""弹性工作"",""扁平管理"",""六险一金"",""试用期全额"""
深圳联友科技有限公司,联友科技,深圳,500-2000人,本科,3-5年,12k-18k,不需要融资,全职,具有竞争力的薪酬福利，年度体检，公司团建等,资深Go语言开发工程师,"""技能培训"",""专项奖金"",""带薪年假"",""绩效奖金"""
深圳联友科技有限公司,联友科技,广州,500-2000人,本科,5-10年,12k-24k,不需要融资,全职,五险一金、商业保险、定期体检、三项补贴,0332GO-APP产品经理-车服务方向,"""技能培训"",""专项奖金"",""带薪年假"",""绩效奖金"""
上海合阔信息技术有限公司,合阔信息,上海,50-150人,本科,1-3年,13k-23k,B轮,全职,市区地铁口 全额五险一金 双休,后端开发初级工程师（Python/Go）,"""年底双薪"",""带薪年假"",""定期体检"",""老板nice"""
上海合阔信息技术有限公司,合阔信息,上海,50-150人,本科,3-5年,20k-40k,B轮,全职,全额五险一金 市区地铁口,go语言开发工程师,"""年底双薪"",""带薪年假"",""定期体检"",""老板nice"""
上海域起网络科技有限公司,上海域起,上海,150-500人,本科,5-10年,20k-40k,不需要融资,全职,六险二金 周末双休,GO开发工程师,"""年底双薪"",""带薪年假"",""年度旅游"",""领导好"""
北京嘀嘀无限科技发展有限公司,滴滴,北京,2000人以上,本科,3-5年,20k-30k,不需要融资,全职,PHP、GO系统研发工程师,Go研发高级工程师-基础架构,"""弹性工作"",""节日礼物"",""岗位晋升"",""技能培训"""
小叶子（北京）科技有限公司,小叶子The ONE,北京,500-2000人,本科,3-5年,15k-25k,D轮及以上,全职,团队氛围好、免费午晚餐、交通补助、五险一金,高级Go/Ruby开发工程师,"""优秀团队"",""技术大牛多"",""五险一金"",""弹性工作"""
新浪网技术（中国）有限公司,新浪网,北京,2000人以上,本科,3-5年,20k-30k,上市公司,全职,五险一金，公司食堂，团队氛围好，成长空间,GO开发工程师,"""免费班车"",""岗位晋升"",""五险一金"",""定期体检"""
杭州门链科技有限公司,门链科技,杭州,150-500人,本科,1-3年,15k-20k,不需要融资,全职,年底多薪加班少五险一金技术驱动年度旅游,GO开发工程师,"""年底多薪"",""带薪年假"",""节日福利"",""弹性工作制"""
深圳大地云坞科技有限公司,大地云坞,深圳,150-500人,大专,5-10年,17k-25k,不需要融资,全职,发展空间大 薪酬福利好 加班少,go语言高级开发工程师,
拾梦文化发展（上海）有限公司,拾梦文化,上海,50-150人,本科,1-3年,10k-20k,A轮,全职,五险一金 补充医疗 年度体检 每日水果,go开发工程师,"""股票期权"",""绩效奖金"",""节日礼物"",""弹性工作"""
成都维堰信息技术服务有限公司陕西分公司,维堰服务,深圳,150-500人,本科,1-3年,16k-20k,不需要融资,全职,五险一金、包三餐、季度奖金、节日福利,go 服务端开发工程师,
名气家（深圳）信息服务有限公司,名气家,上海,50-150人,本科,3-5年,15k-25k,不需要融资,全职,补充公积金 全薪病假,Go开发工程师,"""超强福利体系"",""下午茶"",""年终奖"",""季度绩效奖金"""
广州宇创天成科技有限公司,宇创天成科技,广州,15-50人,本科,1-3年,10k-20k,不需要融资,全职,工作氛围轻松 有技术大佬带您,go开发工程师,"""年底双薪"",""年终分红"",""五险一金"",""带薪年假"""
广州宇创天成科技有限公司,宇创天成科技,广州,15-50人,本科,1-3年,10k-15k,不需要融资,全职,接受java/PHP均可转GO,go,"""年底双薪"",""年终分红"",""五险一金"",""带薪年假"""
一宠（上海）健康科技有限公司,一宠健康,上海,50-150人,本科,3-5年,20k-40k,未融资,全职,团队实力强 创业氛围好,招聘专家,"""绩效奖金"",""弹性工作"",""五险一金"""
北京国双科技有限公司,Gridsum 国双,北京,500-2000人,本科,1-3年,10k-15k,上市公司,全职,人工智能大数据公司、技术牛人、奖金多,HRBP,"""节日礼物"",""年底双薪"",""带薪年假"",""午餐补助"""
上海域起网络科技有限公司,上海域起,上海,150-500人,大专,3-5年,25k-40k,不需要融资,全职,职位晋升 补充公积金 饭补 年终奖,HRBP,"""年底双薪"",""带薪年假"",""年度旅游"",""领导好"""
易联支付有限公司,易联支付,广州,150-500人,大专,3-5年,12k-16k,未融资,全职,领导好 技能培训 岗位晋升 发展空间大,人事人事经理,"""五险一金"",""带薪年假"",""节日礼物"",""午餐补助"""
北京久幺幺科技有限公司,百变大侦探,北京,15-50人,本科,不限,18k-30k,不需要融资,全职,五险一金 周末双休 试用期满薪 包中餐,研发总监、系统架构师,"""年底双薪"",""带薪年假"",""股票期权"",""扁平管理"""
深圳麦客存储科技有限公司,麦客存储,深圳,50-150人,本科,3-5年,22k-27k,不需要融资,全职,团队实力强,招聘hr,
上海魔芋网络科技有限公司,性能魔方,上海,50-150人,本科,3-5年,15k-25k,上市公司,全职,交通方便，饭补，通讯补,招聘招聘hr,"""年底双薪"",""岗位晋升"",""扁平管理"",""领导好"""
上海倾听信息技术有限公司,蜻蜓FM,上海,150-500人,本科,3-5年,20k-40k,D轮及以上,全职,团队优秀,人资经理,"""明星直播"",""男女1:1"",""带薪年假"",""扁平管理"""
上海倾听信息技术有限公司,蜻蜓FM,北京,150-500人,本科,3-5年,20k-40k,D轮及以上,全职,弹性工作,HR,"""明星直播"",""男女1:1"",""带薪年假"",""扁平管理"""
广州方硅信息技术有限公司,YY,广州,500-2000人,不限,3-5年,20k-40k,上市公司,全职,平台广、氛围好,研发总监、系统架构师,
广州方硅信息技术有限公司,YY,广州,500-2000人,不限,3-5年,15k-30k,上市公司,全职,平台广、氛围好,HRBP,
北京向上一心科技有限公司,老虎集团,北京,500-2000人,不限,3-5年,20k-40k,上市公司,全职,美股上市 六险一金 福利齐全 弹性工作,hr,"""绩效奖金"",""年底双薪"",""带薪年假"",""定期体检"""
深圳市虚拟现实技术有限公司,深圳市虚拟现实技术有限公司,深圳,50-150人,本科,不限,15k-20k,C轮,全职,五险一金,hr,"""带薪年假"",""五险一金"",""节假日福利"""
深圳市虚拟现实技术有限公司,深圳市虚拟现实技术有限公司,深圳,50-150人,本科,不限,15k-20k,C轮,全职,五险一金,HR,"""带薪年假"",""五险一金"",""节假日福利"""
上海荣世信息科技有限公司,荣世科技,广州,500-2000人,大专,1-3年,10k-15k,不需要融资,全职,团队大牛 扁平化管理 交通便捷,HRM,
上海荣世信息科技有限公司,荣世科技,广州,500-2000人,大专,3-5年,15k-20k,不需要融资,全职,团队大牛 扁平化管理 交通便捷,go后台开发,
深圳市华宇讯科技有限公司,卖座网,深圳,500-2000人,本科,1-3年,13k-25k,B轮,全职,发展前景好 晋升空间大 六险一金,高级go后台开发工程师(J10147),"""技能培训"",""股票期权"",""五险一金"",""弹性工作"""
杭州边锋网络技术有限公司,边锋,杭州,2000人以上,本科,3-5年,15k-25k,不需要融资,全职,五险一金,go开发工程师,"""交通补助"",""绩效奖金"",""节日礼物"",""定期体检"""
杭州边锋网络技术有限公司,边锋,杭州,2000人以上,本科,5-10年,20k-40k,不需要融资,全职,五险一金,后端开发工程师PHP/GO,"""交通补助"",""绩效奖金"",""节日礼物"",""定期体检"""
北京睿象科技有限公司,睿象云,北京,150-500人,本科,3-5年,25k-38k,上市公司,全职,五险一金、定期体检、年终奖、带薪年假,Go 基础库研发工程师,
微想科技（上海）有限公司,微想科技,上海,150-500人,大专,5-10年,35k-55k,天使轮,全职,定期聚餐~,高级PHP/GO研发工程师,"""专项奖金"",""股票期权"",""带薪年假"",""定期体检"""
微想科技（上海）有限公司,微想科技,上海,150-500人,大专,3-5年,20k-27k,天使轮,全职,定期聚餐~,高级GO开发工程师G00004,"""专项奖金"",""股票期权"",""带薪年假"",""定期体检"""
深圳市智城时代科技有限公司,智城时代,深圳,50-150人,本科,3-5年,15k-25k,不需要融资,全职,16薪制 节日狂欢 福利满溢 成长空间大,GO高级工程师,"""年底双薪"",""专项奖金"",""带薪年假"",""绩效奖金"""
深圳软牛科技有限公司,软牛科技,深圳,150-500人,本科,3-5年,13k-25k,未融资,全职,周末双休 团建旅游 氛围活跃 年终奖金,GO|Golang,"""年底双薪"",""节日礼物"",""技能培训"",""绩效奖金"""
北京念力科技有限公司,念力科技,北京,15-50人,本科,1-3年,20k-40k,A轮,全职,期权、谷歌/微软大牛、陆奇投资、前沿技术,go开发工程师,"""不打卡"",""弹性工作"",""扁平管理"",""领导nice"""
深圳益卡思科技发展有限公司,深圳益卡思科技发展有限公司,深圳,50-150人,大专,1-3年,15k-25k,A轮,全职,平台发展好 办公环境好 老板nice 氛围好,Go后端开发,"""带薪年假"",""购买六险"",""工龄奖金"",""包吃中晚餐"""
广州趣丸网络科技有限公司,趣丸,广州,500-2000人,本科,在校/应届,10k-15k,B轮,全职,六险一金、包三餐、大牛多,Go高级后端开发,"""周末双休"",""包三餐"",""六险一金"",""丰厚年终奖"""
中公教育,中公教育,北京,2000人以上,本科,3-5年,15k-30k,上市公司,全职,绩效奖金、餐补,go开发工程师,"""技能培训"",""节日礼物"",""带薪年假"",""绩效奖金"""
网易（杭州）网络有限公司,网易,北京,2000人以上,不限,不限,35k-50k,上市公司,全职,大厂,go开发工程师,"""节日礼物"",""技能培训"",""免费班车"",""带薪年假"""
广州天纵网络科技有限公司,天纵网络,广州,50-150人,大专,3-5年,15k-20k,未融资,全职,go后端开发 游戏开发,后端专家（PHP/GO/JAVA） (MJ006045),
深圳市汇星科学研究有限公司,汇星科学研究,深圳,150-500人,本科,3-5年,20k-30k,不需要融资,全职,发展前景好，员工福利好,go,"""专项奖金"",""带薪年假"",""股票期权"",""绩效奖金"""
北京质心教育科技有限公司,质心教育,北京,150-500人,本科,在校/应届,8k-15k,A轮,全职,五险一金，扁平化管理，节假日福利、技术学习,HRBP,"""节日礼物"",""股票期权"",""带薪年假"",""年度旅游"""
北京国双科技有限公司,Gridsum 国双,北京,500-2000人,本科,在校/应届,10k-15k,上市公司,全职,大数据人工智能企业、发展前景可观,HR,"""节日礼物"",""年底双薪"",""带薪年假"",""午餐补助"""
中国科学院信息工程研究所,中科院信工所,北京,500-2000人,本科,在校/应届,8k-9k,不需要融资,全职,优秀团队，工作稳定，免费体检，年终奖金,HRBP,"""免费班车"",""带薪年假"",""绩效奖金"",""岗位晋升"""
北京钛雾网络科技有限公司,钛雾,上海,少于15人,本科,1-3年,15k-30k,A轮,全职,团队成员大多来自各大型知名企业，有牛人帮带,人才规划管理,
深圳市华宇讯科技有限公司,卖座网,深圳,500-2000人,大专,1-3年,15k-25k,B轮,全职,发展前景好 晋升空间大 六险一金,HRBP,"""技能培训"",""股票期权"",""五险一金"",""弹性工作"""
广西浩祥信息技术有限公司,广西浩祥,桂林,15-50人,硕士,3-5年,10k-20k,不需要融资,全职,******,HRBP,
广州方舟医药有限公司,广州方舟医药有限公司,北京,500-2000人,本科,3-5年,15k-30k,B轮,全职,周末双休 带薪年假 重点项目 大牛带队,HR,"""节日礼物"",""技能培训"",""绩效奖金"",""年度旅游"""
深圳市麦游互动科技有限公司,深圳市麦游互动科技有限公司,深圳,50-150人,大专,1-3年,11k-20k,B轮,全职,五险一金，零食下午茶,招聘专员,"""技能培训"",""股票期权"",""带薪年假"",""岗位晋升"""
北京鸿盈信息技术有限公司,360,北京,2000人以上,本科,3-5年,18k-35k,上市公司,全职,六险一金 弹性时间 理发按摩 12天以上年假,人才规划管理,"""专项奖金"",""年底双薪"""
北京嘀嘀无限科技发展有限公司,滴滴,北京,2000人以上,本科,5-10年,30k-60k,不需要融资,全职,参与核心项目,,"""弹性工作"",""节日礼物"",""岗位晋升"",""技能培训"""
深圳木成林科技有限公司,小雨伞,深圳,500-2000人,本科,1-3年,13k-25k,C轮,全职,"季度团建,发展空间,弹性工作,科学上网",,"""周末双休"",""弹性工作"",""年度激励"",""年度体检"""
杭州安恒信息技术股份有限公司,安恒信息,杭州,2000人以上,不限,不限,18k-25k,上市公司,全职,团队氛围+，福利待遇+,HRBP,"""年终分红"",""股票期权"",""绩效奖金"",""五险一金"""
杭州安恒信息技术股份有限公司,安恒信息,杭州,2000人以上,不限,不限,18k-25k,上市公司,全职,团队氛围+，福利待遇+,招聘顾问,"""年终分红"",""股票期权"",""绩效奖金"",""五险一金"""
微民保险代理有限公司,WeSure微保,深圳,500-2000人,本科,3-5年,20k-40k,不需要融资,全职,发展前景,HR,"""带薪年假"",""交通补助"",""通讯津贴"",""定期体检"""
微民保险代理有限公司,WeSure微保,深圳,500-2000人,本科,3-5年,20k-40k,不需要融资,全职,腾讯 办公环境好 福利待遇高,招聘经理,"""带薪年假"",""交通补助"",""通讯津贴"",""定期体检"""
达而观信息科技（上海）有限公司,达观数据,上海,150-500人,本科,3-5年,15k-25k,B轮,全职,六险一金 年假多多 AI项目 专业培训,go开发工程师,"""AI人工智能"",""NLP"",""技术领先"",""市场口碑佳"""
北京百家科技集团有限公司,跟谁学,北京,2000人以上,本科,3-5年,20k-40k,上市公司,全职,餐补/美股上市/年终奖,go开发工程师,"""节日礼物"",""技能培训"",""股票期权"",""精英团队"""
深圳小步网络科技有限公司,小步网络,深圳,150-500人,本科,5-10年,23k-45k,B轮,全职,"海外项目,发展空间大,环境宽松,大牛多",软件工程师（GO）,"""股票期权"",""定期体检"",""下午茶"",""年度旅游"""
深圳小步网络科技有限公司,小步网络,深圳,150-500人,本科,3-5年,20k-40k,B轮,全职,业务好已盈利牛人多氛围nice下午茶运动日,软件工程师（GO）,"""股票期权"",""定期体检"",""下午茶"",""年度旅游"""
掌阅科技股份有限公司,掌阅,北京,500-2000人,本科,在校/应届,15k-25k,上市公司,全职,"下午茶, 瑜伽健身, 六险一金, 餐补",go语言开发工程师,"""专项奖金"",""带薪年假"",""年度旅游"",""扁平管理"""
一方量化（北京）科技有限公司,一方量化,北京,少于15人,本科,1-3年,10k-20k,未融资,全职,员工股权激励；职位发展前景好,资深go开发,
北京达佳互联信息技术有限公司,快手,北京,2000人以上,本科,3-5年,20k-40k,上市公司,全职,房补+三餐+打车福利,游戏服务端开发（go语言）,"""股票期权"",""弹性工作"",""定期体检"",""岗位晋升"""
致美纷享（北京）科技有限公司,红布林,北京,150-500人,不限,3-5年,18k-25k,B轮,全职,"前沿技术,核心岗位,团队有大拿,成长性高",系统研发工程师（GO/PHP）(J201202033),"""股票期权"",""带薪年假"",""弹性工作"",""五险一金"""
上海七猫文化传媒有限公司,七猫,上海,150-500人,本科,3-5年,20k-30k,B轮,全职,APP月活 5000万+,后端开发（PHP/GO/Python）,"""带薪年假"",""定期体检"",""领导好"",""扁平管理"""
北京世纪好未来教育科技有限公司,好未来,北京,2000人以上,本科,5-10年,25k-50k,上市公司,全职,.,Go云平台开发工程师,"""上市公司"",""领军企业"",""五险一金"",""住福计划"""
北京三快在线科技有限公司,美团,北京,2000人以上,不限,不限,25k-45k,上市公司,全职,大平台 待遇好,go开发工程师,"""技能培训"",""绩效奖金"",""岗位晋升"",""领导好"""
南京蓝鲸人网络科技有限公司,美篇,南京,150-500人,本科,3-5年,15k-25k,B轮,全职,牛人多 氛围好 福利好,php开发工程师（有go开发经验）,"""弹性工作"",""期权激励"",""六险一金"",""租房补贴"""
深圳虾皮信息科技有限公司,Shopee,深圳,500-2000人,本科,3-5年,30k-50k,上市公司,全职,大牛多，氛围好，外企，福利好,go开发工程师,"""外企氛围"",""蓝海市场"",""大牛多多"",""15天年假"""
深圳虾皮信息科技有限公司,Shopee,深圳,500-2000人,本科,1-3年,20k-40k,上市公司,全职,大牛多，氛围好，外企，福利好,go语言开发工程师,"""外企氛围"",""蓝海市场"",""大牛多多"",""15天年假"""
深圳市汇星科学研究有限公司,汇星科学研究,深圳,150-500人,本科,3-5年,20k-25k,不需要融资,全职,发展前景好，员工福利好,go开发工程师,"""专项奖金"",""带薪年假"",""股票期权"",""绩效奖金"""
北京爱和健康科技有限公司,iHealth,北京,150-500人,本科,3-5年,20k-35k,不需要融资,全职,"弹性工作,百变下午茶,节日福利，团队牛人",go,"""年底双薪"",""股票期权"",""带薪年假"",""年度旅游"""
北京爱和健康科技有限公司,iHealth,北京,150-500人,本科,3-5年,20k-30k,不需要融资,全职,"弹性工作,百变下午茶,节日福利，团队牛人",HR,"""年底双薪"",""股票期权"",""带薪年假"",""年度旅游"""
上海梦求网络科技有限公司,梦求游戏,上海,150-500人,本科,3-5年,20k-30k,不需要融资,全职,大IP项目 发展前景好 福利待遇佳 公司氛围好,人事专员,"""学习型团队"",""快速成长"",""扁平透明沟通"",""项目奖金"""
深圳市明源云科技有限公司,明源云,深圳,2000人以上,本科,5-10年,30k-50k,上市公司,全职,扁平管理 五险一金 上市公司 公司规模大,,"""高额六险一金"",""年底双薪"",""绩效奖金"",""N项经费"""
深圳软牛科技有限公司,软牛科技,深圳,150-500人,本科,3-5年,13k-25k,未融资,全职,周末双休 团建旅游 氛围活跃 年终奖金,人事专员,"""年底双薪"",""节日礼物"",""技能培训"",""绩效奖金"""
掌阅科技股份有限公司,掌阅,北京,500-2000人,本科,3-5年,25k-35k,上市公司,全职,"六险一金, 团队氛围好, 扁平管理",招聘,"""专项奖金"",""带薪年假"",""年度旅游"",""扁平管理"""
广州天纵网络科技有限公司,天纵网络,广州,50-150人,大专,3-5年,15k-25k,未融资,全职,五险一金+全勤+包餐+交通补+节日福利+年终奖,人事部经理,
上海七猫文化传媒有限公司,七猫,上海,150-500人,本科,3-5年,20k-30k,B轮,全职,千万日活，企业文化好，发展前景好，领导nice,行政人事,"""带薪年假"",""定期体检"",""领导好"",""扁平管理"""
新浪网技术（中国）有限公司,新浪网,北京,2000人以上,本科,1-3年,18k-36k,上市公司,全职,健身房，免费班车，免费早餐,HR,"""免费班车"",""岗位晋升"",""五险一金"",""定期体检"""
北京必示科技有限公司,必示科技,北京,150-500人,本科,3-5年,20k-40k,B轮,全职,五险一金,,"""五险一金"",""带薪年假"",""无限零食"",""极客氛围"""
广州摩航时代信息科技有限公司,摩航时代,广州,150-500人,本科,1-3年,10k-20k,不需要融资,全职,海外工作机会、年终奖、带薪年假,HR,"""股票期权"",""年底双薪"",""带薪年假"",""定期体检"""
武汉微派网络科技有限公司,微派,武汉,150-500人,本科,1-3年,15k-30k,B轮,全职,团队实力出众，产品靠谱，一起成长,招聘,"""年底双薪"",""股票期权"",""扁平管理"",""弹性工作"""
北京小米科技有限责任公司,小米集团,北京,2000人以上,本科,3-5年,20k-40k,上市公司,全职,弹性工作 核心部门,人力资源招聘负责人,"""快速成长"",""免费班车"",""扁平管理"",""技能培训"""
北京旷视科技有限公司,旷视MEGVII,北京,500-2000人,本科,3-5年,25k-50k,D轮及以上,全职,核心产品，大牛团队,招聘经理,"""科技大牛公司"",""自助三餐"",""年终多薪"",""超长带薪假期"""
成都弋云科技有限公司,弋云科技,成都,15-50人,本科,1-3年,14k-20k,天使轮,全职,成长空间，年轻活力，办公环境舒适，薪酬福利好,HR,"""带薪年假"",""绩效奖金"",""交通补助"",""岗位晋升"""
成都弋云科技有限公司,弋云科技,成都,15-50人,本科,1-3年,14k-20k,天使轮,全职,成长空间，年轻活力，办公环境舒适，薪酬福利好,HRBP,"""带薪年假"",""绩效奖金"",""交通补助"",""岗位晋升"""
杭州融识科技有限公司,ConsenLabs,杭州,50-150人,本科,1-3年,12k-24k,A轮,全职,绩效奖金，带薪年假，五险一金，发展空间大,go开发工程师,"""年底双薪"",""绩效奖金"",""带薪年假"",""定期体检"""
北京自如生活企业管理有限公司,自如网,北京,2000人以上,本科,5-10年,30k-45k,A轮,全职,五险一金 补充医疗 租房补助 绩效奖金,go开发（java/PHP转go）,"""丰厚年薪"",""六险一金"",""健康体检"",""带薪年假"""
北京网录科技有限公司,网录科技,北京,50-150人,本科,3-5年,25k-50k,不需要融资,全职,"五险一金,带薪假期,绩效奖金,不打卡",go开发工程师,"""股票期权"",""午餐补助"",""节日礼物"",""弹性工作"""
北京网录科技有限公司,网录科技,北京,50-150人,本科,5-10年,25k-50k,不需要融资,全职,"五险一金,绩效奖金,不打卡,带薪假期",go开发工程师,"""股票期权"",""午餐补助"",""节日礼物"",""弹性工作"""
北京凌云雀科技有限公司,灵雀云,北京,150-500人,本科,3-5年,15k-30k,B轮,全职,"技术领先,团队**,项目靠谱,资金充足",服务器主程（go语言） (MJ000195),"""股票期权"",""顶级技术团队"",""带薪年假"",""国际化管理"""
公司名称,公司简称,城市,公司规模,学历要求,工作经验,薪资,融资阶段,工作性质,职位诱惑,职位名称,公司福利
互道信息技术（上海）有限公司,NextTao 互道信息,上海,50-150人,本科,3-5年,13k-20k,B轮,全职,"技术前沿,大数据平台",,"""节日礼物"",""技能培训"",""年底双薪"",""年度旅游"""
小叶子（北京）科技有限公司,小叶子The ONE,北京,500-2000人,本科,在校/应届,3k-4k,D轮及以上,全职,"公司免费午晚餐,交通补助",人事主管,"""优秀团队"",""技术大牛多"",""五险一金"",""弹性工作"""
千寻位置网络有限公司,千寻位置,上海,500-2000人,本科,在校/应届,15k-30k,A轮,全职,阿里+中兵合资 餐补 补充商保 成长空间大,,"""节日礼物"",""股票期权"",""带薪年假"",""绩效奖金"""
上海脉策数据科技有限公司,脉策科技,上海,150-500人,本科,1-3年,10k-18k,B轮,全职,"弹性工作,薪酬福利好,技术驱动,大牛互助",行政人事,"""股票期权"",""定期体检"",""弹性工作"",""扁平管理"""
杭州图尔兹信息技术有限公司,图尔兹,杭州,15-50人,本科,在校/应届,13k-26k,天使轮,全职,大佬带队，工程师文化团队，广阔发展前景,HR,"""股票期权"",""绩效奖金"",""年终分红"""
