公司名称,公司简称,城市,公司规模,学历要求,工作经验,薪资,融资阶段,工作性质,职位诱惑,职位名称,公司福利
杭州飞享数据技术有限公司,飞享数据,杭州,15-50人,本科,3-5年,13k-26k,A轮,全职,发展空间大，领导NICE，企业氛围好,网络空间测绘Python与go程序员,"""节日礼物"",""技能培训"",""绩效奖金"",""岗位晋升"""
上海小莫网络科技有限公司,莫比运动,上海,150-500人,本科,1-3年,10k-15k,B轮,全职,发展空间大 团队nice,Python开发工程师,"""技能培训"",""节日礼物"",""专项奖金"",""带薪年假"""
北京音娱时光科技有限公司,音娱时光,北京,50-150人,本科,3-5年,20k-40k,B轮,全职,七险一金，绩效奖金，年底双薪，股票期权,python,"""年底双薪"",""绩效奖金"",""带薪年假"",""免费健身"""
北京音娱时光科技有限公司,音娱时光,北京,50-150人,本科,3-5年,20k-40k,B轮,全职,七险一金，绩效奖金，年底双薪，股票期权,招聘经理,"""年底双薪"",""绩效奖金"",""带薪年假"",""免费健身"""
山西优美迅企业管理咨询有限公司,优美迅,北京,15-50人,本科,3-5年,30k-40k,未融资,全职,不加班、发展前景好、盈利稳定,人事经理,
上海江煦信息科技有限公司,上海江煦信息科技,上海,15-50人,本科,不限,10k-20k,不需要融资,全职,俊男美女，弹性工作，福利多多,HR,
深圳市易博天下科技有限公司,易博天下,武汉,500-2000人,大专,3-5年,13k-26k,上市公司,全职,上市公司 五险一金 周末双休 团队氛围好,HR,"""年底双薪"",""股票期权"",""带薪年假"",""创业公司范儿"""
北京快乐茄信息技术有限公司,茄子快传,北京,150-500人,本科,在校/应届,4k-6k,B轮,实习,互联网出海企业标杆,HRBP,"""技能培训"",""领导好"",""美女多"",""帅哥多"""
安徽科大讯飞信息科技股份有限公司,科大讯飞,合肥,2000人以上,硕士,在校/应届,6k-12k,上市公司,实习,上市公司,HR,"""绩效奖金"",""五险一金"",""通讯津贴"",""交通补助"""
杭州明象科技有限公司,明象科技,杭州,15-50人,本科,3-5年,10k-16k,天使轮,全职,双休、海外旅游、带薪休假、股权激励,人事经理,"""年底双薪"",""带薪年假"",""绩效奖金"",""股票期权"""
畅捷通信息技术股份有限公司,畅捷通,北京,500-2000人,本科,3-5年,15k-25k,上市公司,全职,公司福利优厚,HRM,"""技能培训"",""节日礼物"",""绩效奖金"",""岗位晋升"""
深圳萨摩耶数字科技有限公司,萨摩耶数科,深圳,150-500人,本科,1-3年,18k-36k,C轮,全职,六险一金,招聘主管,"""技能培训"",""年度旅游"",""岗位晋升"",""五险一金"""
北京迈迪培尔健康科技有限公司,北京迈迪培尔健康科技有限公司,北京,15-50人,本科,不限,6k-12k,天使轮,全职,技术大佬带队,HRBP,
北京极睿科技有限责任公司,北京极睿科技有限责任公司,北京,50-150人,本科,3-5年,20k-40k,A轮,全职,清华团队，技术大牛，明星资本，,人事经理,"""年底双薪"",""股票期权"",""弹性工作"",""扁平管理"""
广东紫晶信息存储技术股份有限公司,紫晶存储,广州,150-500人,本科,1-3年,10k-16k,未融资,全职,上市公司&amp;五险一金&amp;周末双休,招聘主管,"""五险一金"",""上市公司"",""节日礼物"",""岗位晋升"""
北京思维造物信息科技股份有限公司,思维造物,北京,150-500人,本科,1-3年,20k-40k,D轮及以上,全职,六险一金，工作氛围好，弹性工作，定期体检,HR,"""扁平管理"",""弹性工作"",""六险一金"",""定期体检"""
北京华美汉盛信息技术有限公司,华美汉盛,北京,50-150人,本科,不限,6k-10k,未融资,全职,五险一金 周末双休 补充医疗保险,HRD,"""节日礼物"",""年度旅游"",""岗位晋升"",""扁平管理"""
全流量时代（北京）信息技术有限公司,全流量时代,北京,15-50人,本科,1-3年,12k-20k,不需要融资,全职,无加班文化，产品丰富，成长快，发展空间大,经理,"""领导好"",""弹性工作"",""年终分红"""
埃克斯工业（广东）有限公司,埃克斯工业,深圳,50-150人,本科,3-5年,15k-25k,A轮,全职,五险一金，年休假，年度旅游、弹性工作,校招-python开发实习生(J12581),
埃克斯工业（广东）有限公司,埃克斯工业,深圳,50-150人,本科,1-3年,10k-15k,A轮,全职,五险一金，年休假，年度旅游、弹性工作,python开发实习生——天津,
深圳市法本信息技术股份有限公司,法本信息,深圳,2000人以上,本科,5-10年,14k-20k,上市公司,全职,有食堂 加班少 加班费,软件测试工程师 (Python),
达而观信息科技（上海）有限公司,达观数据,苏州,150-500人,大专,1-3年,10k-15k,B轮,全职,六险一金 年假多多 AI项目 专业培训,python开发工程师,"""AI人工智能"",""NLP"",""技术领先"",""市场口碑佳"""
达而观信息科技（上海）有限公司,达观数据,上海,150-500人,本科,1-3年,12k-24k,B轮,全职,公司发展稳定、独角兽、待遇丰厚、产品线多,Python开发工程师,"""AI人工智能"",""NLP"",""技术领先"",""市场口碑佳"""
广州数驰信息科技有限公司,数驰科技,广州,15-50人,本科,1-3年,7k-13k,不需要融资,全职,周末双休、五险一金、技术氛围好、发展前景大,python开发工程师,"""午餐补助"",""带薪年假"",""在职培训"",""周末双休"""
TCL实业控股股份有限公司,TCL,深圳,2000人以上,本科,3-5年,20k-30k,上市公司,全职,"工作氛围好,弹性工作,发展空间大",python后端开发工程师,"""年底双薪"",""带薪年假"",""定期体检"",""绩效奖金"""
学慧帮（上海）企业管理咨询有限公司,Learning Tribes,上海,15-50人,本科,3-5年,16k-22k,不需要融资,全职,团队和谐，领导好,python开发工程师,"""带薪年假"",""领导好"",""定期体检"",""五险一金"""
